repo_name,number,title,primary_language,agent_name
Skyvern-AI/skyvern,3063,Add skyvern_project table,python,OpenAI_Codex
prebid/Prebid.js,13698,Core: use uuid for bid ids,javascript,OpenAI_Codex
MontrealAI/AGI-Alpha-Agent-v0,3931,[alpha_factory] Stabilize offline bridge test,python,OpenAI_Codex
MontrealAI/AGI-Alpha-Agent-v0,3930,ci: drop checkout from owner check,python,OpenAI_Codex
Mail-0/Zero,1871,Fix workflow result passing between steps,javascript,Devin
mendableai/firecrawl,1896,feat(python-sdk): implement missing crawl_entire_domain parameter,javascript,Devin
MontrealAI/AGI-Alpha-Agent-v0,3929,Fix duplicated cache steps in CI,python,OpenAI_Codex
MontrealAI/AGI-Alpha-Agent-v0,3928,[alpha_factory] run pre-commit diff in CI,python,OpenAI_Codex
antiwork/flexile,680,Add issue assignment policy to CONTRIBUTING.md,ruby,Devin
PyLabRobot/pylabrobot,634,Rename incubators module to storage,python,OpenAI_Codex
MontrealAI/AGI-Alpha-Agent-v0,3927,[alpha_factory] cache node deps and playwright,python,OpenAI_Codex
pyth-network/pyth-crosschain,2911,fix: resolve Fuel deployment transaction size limit exceeded error,javascript,Devin
MontrealAI/AGI-Alpha-Agent-v0,3926,[alpha_factory] add setup-env action,python,OpenAI_Codex
MontrealAI/AGI-Alpha-Agent-v0,3925,[alpha_factory] Auto-install requests in update_actions,python,OpenAI_Codex
liveblocks/liveblocks,2557,Add documentation for resolveUsers 50-user batch limit,javascript,Devin
mendableai/firecrawl,1895,feat(crawler): replace robotstxt library with texting_robots for ENG-3016,javascript,Devin
neondatabase/website,3730,docs: highlight Neon Local Connect option on connection pages,javascript,Devin
MontrealAI/AGI-Alpha-Agent-v0,3924,[alpha_factory] Add Python 3.13 to CI,python,OpenAI_Codex
prebid/Prebid.js,13695,e2e tests: extend webdriver session timeouts,javascript,OpenAI_Codex
crewAIInc/crewAI,3243,Fix #3242: Add reasoning parameter to LLM class to disable reasoning mode,python,Devin
sugyan/claude-code-webui,219,fix: add Windows .cmd parsing fallback for node.exe colocated environments,javascript,Claude_Code
MontrealAI/AGI-Alpha-Agent-v0,3923,Fix test logging offline handling,python,OpenAI_Codex
Pimzino/claude-code-spec-workflow,27,Fix docs and tests for updated command set,javascript,OpenAI_Codex
reown-com/appkit,4741,feat: add native SOL payment asset for Solana network,javascript,Devin
mendableai/firecrawl,1894,fix: convert timeout from milliseconds to seconds in Python SDK,javascript,Devin
Pimzino/claude-code-spec-workflow,26,Fix setup command test list,javascript,OpenAI_Codex
taiga-family/taiga-ui,11485,fix(kit): combo box stringify function not being called after update,javascript,Copilot
MontrealAI/AGI-Alpha-Agent-v0,3920,[alpha_factory] Add Python 3.13 to CI matrix,python,OpenAI_Codex
mendableai/firecrawl,1893,fix(js-sdk): add retry logic for socket hang up errors in monitorJobStatus (ENG-3029),javascript,Devin
zwave-js/zwave-js,8020,Fix: Mark node as asleep when compat query times out,javascript,Copilot
elementary-data/dbt-data-reliability,835,Add disable_samples column configuration flag,python,Devin
microsoft/genaiscript,1808,Fix generateImage returning undefined and enable Azure OpenAI image editing with proper URL construction,javascript,Copilot
zwave-js/zwave-js,8019,Fix throttled firmware update progress events jumping back and forth,javascript,Copilot
zwave-js/zwave-js,8018,feat: Add configuration parameter support to SmartStart provisioning entries,javascript,Copilot
zwave-js/zwave-js,8017,Disable SmartStart provisioning entries after 5 failed inclusion attempts,javascript,Copilot
MontrealAI/AGI-Alpha-Agent-v0,3919,Improve owner check in CI workflow,python,OpenAI_Codex
